Instruction,Input,Output,materi,question_id,Full Code,Template
Create a Python program to read in a list of items and print them out in reverse order.,"[""Apple"", ""Pear"", ""Banana"", ""Orange""]","my_list = [""Apple"", ""Pear"", ""Banana"", ""Orange""]

for item in reversed(my_list):
 print(item)",Introduction Python,3787,"my_list = [""Apple"", ""Pear"", ""Banana"", ""Orange""]

for item in reversed(my_list):
 print(item)","my_list = [""Apple"", ""Pear"", ""Banana"", ""Orange""]

    ___
    ___"
Create a Python Program to print the Fibonacci sequence up to n terms,Print the Fibonacci sequence up to the 5th term,"def Fibonacci(n):
      
    # First and second number in the sequence 
    Fib_list = [0, 1]
    
    # Generate the Fibonacci sequence up to n terms
    for i in range(2,n): 
        Fib_list.append(Fib_list[i-2] + Fib_list[i-1])
    return Fib_list

# Driver code 
n = 5
print(Fibonacci(n))",Introduction Python,3788,"def Fibonacci(n):
      
    # First and second number in the sequence 
    Fib_list = [0, 1]
    
    # Generate the Fibonacci sequence up to n terms
    for i in range(2,n): 
        Fib_list.append(Fib_list[i-2] + Fib_list[i-1])
    return Fib_list

# Driver code 
n = 5
print(Fibonacci(n))","def Fibonacci(n):
      
    # First and second number in the sequence 
    Fib_list = [0, 1]
    
    # Generate the Fibonacci sequence up to n terms
    ___
        Fib_list.append(Fib_list[i-2] + Fib_list[i-1])
    return Fib_list

# Driver code 
n = 5
    ___"
"Create a Python program to print out the sum of all even numbers between the given range, inclusive.","start = 2
end = 10","def sum_even_numbers(start, end):
 result = 0
 for n in range(start, end+1):
 if n % 2 == 0:
 result += n
 return result

print(sum_even_numbers(2, 10))",Introduction Python,3791,"def sum_even_numbers(start, end):
 result = 0
 for n in range(start, end+1):
 if n % 2 == 0:
 result += n
 return result

print(sum_even_numbers(2, 10))","def sum_even_numbers(start, end):
 result = 0
    ___
 if n % 2 == 0:
 result += n
 return result

    ___"
Produce code to print out the multiplication table of a given number in Python.,Number: 5,"# Program to print the multiplication table
num = 5

# Iterate from 1 to 10
for i in range(1,11):
 print(f'{num} X {i} = {num * i}')",Introduction Python,3823,"# Program to print the multiplication table
num = 5

# Iterate from 1 to 10
for i in range(1,11):
 print(f'{num} X {i} = {num * i}')","# Program to print the multiplication table
num = 5

# Iterate from 1 to 10
    ___
    ___"
"Write a python code to find all numbers in a given string, and print them out.","""There are 45.8 apples and 12.3 oranges.""","import re

string = ""There are 45.8 apples and 12.3 oranges.""
numbers = re.findall(r""[-+]?\d*\.\d+|\d+"", string)
print(numbers)

# Output: ['45.8', '12.3']",Introduction Python,3889,"import re

string = ""There are 45.8 apples and 12.3 oranges.""
numbers = re.findall(r""[-+]?\d*\.\d+|\d+"", string)
print(numbers)

# Output: ['45.8', '12.3']","import re

string = ""There are 45.8 apples and 12.3 oranges.""
numbers = re.findall(r""[-+]?\d*\.\d+|\d+"", string)
    ___

# Output: ['45.8', '12.3']"
Edit the given Python code to add a feature which will print the squares of given numbers.,"def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "")","def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "") 
    print(""\n"")
    for i in range(a, b + 1):
        print(i*i, end = "" "")",Introduction Python,3932,"def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "") 
    print(""\n"")
    for i in range(a, b + 1):
        print(i*i, end = "" "")","    ___
    ___
    ___
    ___
    ___
    ___"
Generate a Python script to identify which words in a given list appear more than 3 times and print them out.,"words = ['blue', 'red', 'green', 'red', 'yellow', 'blue', 'blue', 'orange']","words = ['blue', 'red', 'green', 'red', 'yellow', 'blue', 'blue', 'orange']
from collections import Counter
word_counts = Counter(words)
words_appearing_more_than_3_times = [word for word, count in word_counts.items() if count > 3]
print(words_appearing_more_than_3_times)",Introduction Python,3937,"words = ['blue', 'red', 'green', 'red', 'yellow', 'blue', 'blue', 'orange']
from collections import Counter
word_counts = Counter(words)
words_appearing_more_than_3_times = [word for word, count in word_counts.items() if count > 3]
print(words_appearing_more_than_3_times)","words = ['blue', 'red', 'green', 'red', 'yellow', 'blue', 'blue', 'orange']
from collections import Counter
word_counts = Counter(words)
words_appearing_more_than_3_times = [word for word, count in word_counts.items() if count > 3]
    ___"
Create a recursive function in Python to print the sum of the natural numbers up to the given number.,limit = 5,"def sum_natural_numbers(limit):
    if limit < 2:
        return limit
    else:
        return limit + sum_natural_numbers(limit-1)

#print the sum 
print(sum_natural_numbers(limit))",Introduction Python,3942,"def sum_natural_numbers(limit):
    if limit < 2:
        return limit
    else:
        return limit + sum_natural_numbers(limit-1)

#print the sum 
print(sum_natural_numbers(limit))","def sum_natural_numbers(limit):
    if limit < 2:
        return limit
    else:
        return limit + sum_natural_numbers(limit-1)

#print the sum 
    ___"
"Rewrite the following Javascript code as a Python code that solves the same problem.

Given an array of numbers, find the square root of each number and print it.","[2, 3, 4, 5]","import math

numbers = [2, 3, 4, 5]

for number in numbers:
 print(math.sqrt(number))

# Output
# 1.414
# 1.732
# 2.000
# 2.236",Introduction Python,3991,"import math

numbers = [2, 3, 4, 5]

for number in numbers:
 print(math.sqrt(number))

# Output
# 1.414
# 1.732
# 2.000
# 2.236","import math

numbers = [2, 3, 4, 5]

    ___
    ___

# Output
# 1.414
# 1.732
# 2.000
# 2.236"
Write a python program to calculate the mean of a list of numbers and display the mean using print statement.,"[2, 6, 9, 8, 4, 5]","list = [2, 6, 9, 8, 4, 5]
sum = 0 
for num in list:
 sum += num 

# calculate mean
mean = sum / len(list)

# print mean
print(""Mean:"", mean)

# Output
Mean: 5.8",Introduction Python,3994,"list = [2, 6, 9, 8, 4, 5]
sum = 0 
for num in list:
 sum += num 

# calculate mean
mean = sum / len(list)

# print mean
print(""Mean:"", mean)

# Output
Mean: 5.8","list = [2, 6, 9, 8, 4, 5]
sum = 0 
    ___
 sum += num 

# calculate mean
mean = sum / len(list)

# print mean
    ___

# Output
Mean: 5.8"
Develop a code in Python to print the nth Fibonacci number.,6,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 

print(Fibonacci(6))",Introduction Python,4018,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 

print(Fibonacci(6))","def Fibonacci(n): 
    if n<0: 
    ___
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 

    ___"
Please provide Python code to print out all the prime numbers in a list of numbers.,"list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11]","def is_prime(num):
  for i in range(2, num):
    if num % i == 0:
      return False
  return True

list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11] 
for i in list_of_numbers:
  if is_prime(i):
    print(i)",Introduction Python,4036,"def is_prime(num):
  for i in range(2, num):
    if num % i == 0:
      return False
  return True

list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11] 
for i in list_of_numbers:
  if is_prime(i):
    print(i)","def is_prime(num):
    ___
    if num % i == 0:
      return False
  return True

list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11] 
    ___
  if is_prime(i):
    ___"
Create a python program to print all two dimensional subarrays in a given two-dimensional array,"two_dimensional_array = [[1, 2, 3],
                        [4, 5, 6],
                        [7, 8, 9]]","for i in range(len(two_dimensional_array)): 
    for j in range(i+1): 
        for k in range(len(two_dimensional_array[i])): 
            print(two_dimensional_array[j][k], end="" "") 
        print()",Introduction Python,4053,"for i in range(len(two_dimensional_array)): 
    for j in range(i+1): 
        for k in range(len(two_dimensional_array[i])): 
            print(two_dimensional_array[j][k], end="" "") 
        print()","    ___
    ___
    ___
    ___
    ___"
Can you create a Python script to print out the two smallest elements from an array of numbers?,"[45, 24, 2, 17, 78]","def smallest_two_elements(nums):
    min1 = min(nums)
    nums.remove(min1)
    min2 = min(nums)
    
    print(min1, min2)

smallest_two_elements([45, 24, 2, 17, 78])",Introduction Python,4085,"def smallest_two_elements(nums):
    min1 = min(nums)
    nums.remove(min1)
    min2 = min(nums)
    
    print(min1, min2)

smallest_two_elements([45, 24, 2, 17, 78])","def smallest_two_elements(nums):
    min1 = min(nums)
    nums.remove(min1)
    min2 = min(nums)
    
    ___

smallest_two_elements([45, 24, 2, 17, 78])"
Create a Python script to print the first n even numbers.,n = 10,"n = 10

for i in range(1, n+1):
 if i % 2 == 0:
 print(i)",Introduction Python,4160,"n = 10

for i in range(1, n+1):
 if i % 2 == 0:
 print(i)","n = 10

    ___
 if i % 2 == 0:
    ___"
"Given a Python dictionary, print out the keys and values that are duplicated.","my_dict = {'a': 'apple', 'b': 'banana', 'c': 'apple'}","for key, value in my_dict.items():
    if my_dict.values().count(value) > 1:
        print(key, value)",Introduction Python,4184,"for key, value in my_dict.items():
    if my_dict.values().count(value) > 1:
        print(key, value)","    ___
    if my_dict.values().count(value) > 1:
    ___"
Generate a Python script to print all the prime numbers in a given range.,Range = 2 to 20,"for n in range(2, 21): 
   if n > 1: 
       for i in range(2, n//2 + 2): 
           if (n % i) == 0: 
               break
       else: 
           print(n)",Introduction Python,4211,"for n in range(2, 21): 
   if n > 1: 
       for i in range(2, n//2 + 2): 
           if (n % i) == 0: 
               break
       else: 
           print(n)","    ___
   if n > 1: 
    ___
           if (n % i) == 0: 
               break
       else: 
    ___"
Create a Python script to perform sentiment analysis on a given piece of text. Use the TextBlob package to detect the sentiment of the text and print out the sentiment score.,"Text: ""The movie was great! I really enjoyed watching it.""","import textblob

text = ""The movie was great! I really enjoyed watching it.""

blob = textblob.TextBlob(text)
sentiment = blob.sentiment

print(""Sentiment score:"", sentiment.polarity)",Introduction Python,4225,"import textblob

text = ""The movie was great! I really enjoyed watching it.""

blob = textblob.TextBlob(text)
sentiment = blob.sentiment

print(""Sentiment score:"", sentiment.polarity)","import textblob

text = ""The movie was great! I really enjoyed watching it.""

blob = textblob.TextBlob(text)
sentiment = blob.sentiment

    ___"
"Create a function in Python to execute the following rule: given an array of integers, find the pair of adjacent elements that has the largest sum and print the sum.","[5, 0, -1, 7, 20]","def find_largest_sum(lst):
    largest_sum = 0
    for i in range(len(lst) - 1):
        current_sum = lst[i] + lst[i+1]
        if current_sum > largest_sum:
            largest_sum = current_sum
    return largest_sum",Introduction Python,4251,"def find_largest_sum(lst):
    largest_sum = 0
    for i in range(len(lst) - 1):
        current_sum = lst[i] + lst[i+1]
        if current_sum > largest_sum:
            largest_sum = current_sum
    return largest_sum","def find_largest_sum(lst):
    largest_sum = 0
    ___
        current_sum = lst[i] + lst[i+1]
        if current_sum > largest_sum:
            largest_sum = current_sum
    return largest_sum"
Create a program in Python to print out the elements in a list in reverse order.,"List = [""A"", ""B"", ""C"", ""D""]","list = [""A"", ""B"", ""C"", ""D""]

for i in range(len(list)-1, -1, -1):
    print(list[i])",Introduction Python,4267,"list = [""A"", ""B"", ""C"", ""D""]

for i in range(len(list)-1, -1, -1):
    print(list[i])","list = [""A"", ""B"", ""C"", ""D""]

    ___
    ___"
Create a Python program to print out all the combination of a given set of numbers.,"[1, 2, 3]","def combinations(arr):
    res = []
    for i in range(len(arr)):
        for j in range(i + 1, len(arr)):
            res.append([arr[i], arr[j]])
    return res

print(combinations([1, 2, 3]))",Introduction Python,4280,"def combinations(arr):
    res = []
    for i in range(len(arr)):
        for j in range(i + 1, len(arr)):
            res.append([arr[i], arr[j]])
    return res

print(combinations([1, 2, 3]))","def combinations(arr):
    res = []
    ___
    ___
            res.append([arr[i], arr[j]])
    return res

    ___"
Modify a basic Python algorithm to increase the speed of the program.,"list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","def faster_sum(arr):
 total = 0
 # looping over the array and adding the elements
 # to the variable total
 for i in range(0, len(arr)):
 total += arr[i]
 return total

list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

# using the faster_sum() function
result = faster_sum(list_of_numbers)
print(result)",Introduction Python,4314,"def faster_sum(arr):
 total = 0
 # looping over the array and adding the elements
 # to the variable total
 for i in range(0, len(arr)):
 total += arr[i]
 return total

list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

# using the faster_sum() function
result = faster_sum(list_of_numbers)
print(result)","def faster_sum(arr):
 total = 0
 # looping over the array and adding the elements
 # to the variable total
    ___
 total += arr[i]
 return total

list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

# using the faster_sum() function
result = faster_sum(list_of_numbers)
    ___"
Create a Python script to iterate over a list of words and print them out one by one.,"['cat', 'dog', 'bird']","for word in ['cat', 'dog', 'bird']:
    print(word)",Introduction Python,4363,"for word in ['cat', 'dog', 'bird']:
    print(word)","    ___
    ___"
Write a Python program to concatenate two strings and print the combined string.,"The two strings are - ""I love"", ""Programming"".","string1 = 'I love'
string2 = 'Programming'

output = string1 + string2

print(output)

# Output
I love Programming",Introduction Python,4398,"string1 = 'I love'
string2 = 'Programming'

output = string1 + string2

print(output)

# Output
I love Programming","string1 = 'I love'
string2 = 'Programming'

output = string1 + string2

    ___

# Output
I love Programming"
"Write a Python program to print all the numbers from 1 to n (inclusive), where n is a given number.",n = 20,"for i in range(1, n+1): 
 print(i)",Introduction Python,4407,"for i in range(1, n+1): 
 print(i)","    ___
    ___"
Write a Python program to print an empty square based on size,Size = 8,"def print_square(size): 

    # loop to print size number of lines 
    for _ in range(size): 

        # print stars on each line 
        print(""*"" * size) 

if __name__ == '__main__':
    size = 8
    print_square(size)",Introduction Python,4442,"def print_square(size): 

    # loop to print size number of lines 
    for _ in range(size): 

        # print stars on each line 
        print(""*"" * size) 

if __name__ == '__main__':
    size = 8
    print_square(size)","    ___

    # loop to print size number of lines 
    ___

        # print stars on each line 
    ___

if __name__ == '__main__':
    size = 8
    ___"
Generate a Python code to print all the animal types entered in a list,"[""dog"", ""cat"", ""mouse"", ""snake""]","animal_list = [""dog"", ""cat"", ""mouse"", ""snake""] 

for animal in animal_list:
    print(animal)",Introduction Python,4457,"animal_list = [""dog"", ""cat"", ""mouse"", ""snake""] 

for animal in animal_list:
    print(animal)","animal_list = [""dog"", ""cat"", ""mouse"", ""snake""] 

    ___
    ___"
"Come up with a python program to join two strings x and y, and then print the resulting combined string.","x = ""Hello""; y = ""World""","x = ""Hello""
y = ""World""

result = x + y
print(result)",Introduction Python,4507,"x = ""Hello""
y = ""World""

result = x + y
print(result)","x = ""Hello""
y = ""World""

result = x + y
    ___"
Create a python script to read a JSON object and print out its values.,"{
 ""name"": ""Adam"",
 ""age"": 24,
 ""city"": ""New York""
}","import json

data = json.loads('{ ""name"": ""Adam"", ""age"": 24, ""city"": ""New York"" }')

print(""Name: "", data['name']) 
print(""Age: "", data['age']) 
print(""City: "", data['city'])",Introduction Python,4515,"import json

data = json.loads('{ ""name"": ""Adam"", ""age"": 24, ""city"": ""New York"" }')

print(""Name: "", data['name']) 
print(""Age: "", data['age']) 
print(""City: "", data['city'])","import json

data = json.loads('{ ""name"": ""Adam"", ""age"": 24, ""city"": ""New York"" }')

    ___
    ___
    ___"
Use a Python print function to write a statement that takes an input message and prints the message in all uppercase letters.,"""Hello world!""","message = 'Hello world!'

print(message.upper()) // HELLO WORLD!",Introduction Python,4520,"message = 'Hello world!'

print(message.upper()) // HELLO WORLD!","message = 'Hello world!'

    ___"
Design a Python code to Print the length of the string entered by user.,"stringInput = ""Hello World!""","stringLength = len(stringInput)

print(""The length of the string is: "", stringLength)",Introduction Python,4530,"stringLength = len(stringInput)

print(""The length of the string is: "", stringLength)","stringLength = len(stringInput)

    ___"
"In Python, create a function to check if a given number is prime, and then print out all prime numbers between 0 and that number.",Number : 25,"def is_prime(number):
    if number <= 1:
        return False
    for i in range(2, number):
        if number % i == 0:
            return False
    return True

def print_primes(upper_limit):
    for i in range(2, upper_limit+1):
        if is_prime(i):
            print(i)

print_primes(25)",Introduction Python,4548,"def is_prime(number):
    if number <= 1:
        return False
    for i in range(2, number):
        if number % i == 0:
            return False
    return True

def print_primes(upper_limit):
    for i in range(2, upper_limit+1):
        if is_prime(i):
            print(i)

print_primes(25)","def is_prime(number):
    if number <= 1:
        return False
    ___
        if number % i == 0:
            return False
    return True

    ___
    ___
        if is_prime(i):
    ___

    ___"
Generate a Python script to print the elements of a list in reverse order.,"[1, 2, 3, 4, 5]","my_list = [1, 2, 3, 4, 5]

for i in reversed(my_list):
    print(i)",Introduction Python,4585,"my_list = [1, 2, 3, 4, 5]

for i in reversed(my_list):
    print(i)","my_list = [1, 2, 3, 4, 5]

    ___
    ___"
"Create a basic Python script that takes a user input, filters out any characters that are not letters or numbers, and prints the input after filtering.","This input contains "" special characters!","import re

input_string = ""This input contains \"" special characters!""
filtered_string = re.sub(r'[^a-zA-Z0-9]', '', input_string)

print(filtered_string) # Output: Thisinputcontainsspecialcharacters",Introduction Python,4590,"import re

input_string = ""This input contains \"" special characters!""
filtered_string = re.sub(r'[^a-zA-Z0-9]', '', input_string)

print(filtered_string) # Output: Thisinputcontainsspecialcharacters","import re

input_string = ""This input contains \"" special characters!""
filtered_string = re.sub(r'[^a-zA-Z0-9]', '', input_string)

    ___"
Modify the following Python code to print the sum of the elements in a given list (without using the sum() function).,"my_list = [1, 5, 4, -3, 10]","my_list = [1, 5, 4, -3, 10]

total = 0

for num in my_list:
 total += num

print(total) # prints 17",Introduction Python,4595,"my_list = [1, 5, 4, -3, 10]

total = 0

for num in my_list:
 total += num

print(total) # prints 17","my_list = [1, 5, 4, -3, 10]

total = 0

    ___
 total += num

    ___"
"Write a Python code snippet to search and print all items in the list that starts with substring ""java"".","arr = [""python"", ""c++"", ""java"", ""java-script""]","arr = [""python"", ""c++"", ""java"", ""java-script""]

result = []
for item in arr:
    if item.startswith(""java""):
        result.append(item)
print(result)",Introduction Python,4603,"arr = [""python"", ""c++"", ""java"", ""java-script""]

result = []
for item in arr:
    if item.startswith(""java""):
        result.append(item)
print(result)","    ___

result = []
    ___
    if item.startswith(""java""):
        result.append(item)
    ___"
Can you provide a Python code to print the largest item in a given list?,"[9, 2, 6, 10, 4]","# Find the largest element in a list

def find_largest(lst):
    max_val = float('-inf')
    for val in lst:
        if val > max_val:
            max_val = val
    return max_val

# Test
lst = [9, 2, 6, 10, 4]
print(find_largest(lst)) # 10",Introduction Python,4618,"# Find the largest element in a list

def find_largest(lst):
    max_val = float('-inf')
    for val in lst:
        if val > max_val:
            max_val = val
    return max_val

# Test
lst = [9, 2, 6, 10, 4]
print(find_largest(lst)) # 10","# Find the largest element in a list

def find_largest(lst):
    max_val = float('-inf')
    ___
        if val > max_val:
            max_val = val
    return max_val

# Test
lst = [9, 2, 6, 10, 4]
    ___"
Generate a Python program to read a list of integers and print its elements in reversed order.,"The input should include a sample list of integers for testing the program, for example: [1, 3, 6, 8, 10]","list_of_ints = [1, 3, 6, 8, 10]

list_of_ints.reverse()

print(list_of_ints) # [10, 8, 6, 3, 1]",Introduction Python,4644,"list_of_ints = [1, 3, 6, 8, 10]

list_of_ints.reverse()

print(list_of_ints) # [10, 8, 6, 3, 1]","list_of_ints = [1, 3, 6, 8, 10]

list_of_ints.reverse()

    ___"
Create a Python script to generate 10 random numbers and print their sum.,<noinput>.,"import random

nums = random.sample(range(100), 10)
total = 0

for num in nums:
    total += num

print(total)",Introduction Python,4652,"import random

nums = random.sample(range(100), 10)
total = 0

for num in nums:
    total += num

print(total)","import random

nums = random.sample(range(100), 10)
total = 0

    ___
    total += num

    ___"
Create a Python script to print out the most common words in the text.,The quick brown fox jumps over the lazy dog.,"from collections import Counter

text = ""The quick brown fox jumps over the lazy dog.""
words = text.split()

word_counts = Counter(words)
most_common_words = word_counts.most_common()

for word, count in most_common_words:
    print(word, count)
# Output:
# the 2
# quick 1
# brown 1
# fox 1
# jumps 1
# over 1
# lazy 1
# dog 1",Introduction Python,4695,"from collections import Counter

text = ""The quick brown fox jumps over the lazy dog.""
words = text.split()

word_counts = Counter(words)
most_common_words = word_counts.most_common()

for word, count in most_common_words:
    print(word, count)
# Output:
# the 2
# quick 1
# brown 1
# fox 1
# jumps 1
# over 1
# lazy 1
# dog 1","from collections import Counter

text = ""The quick brown fox jumps over the lazy dog.""
words = text.split()

word_counts = Counter(words)
most_common_words = word_counts.most_common()

    ___
    ___
# Output:
# the 2
# quick 1
# brown 1
# fox 1
# jumps 1
# over 1
# lazy 1
# dog 1"
Update the given Python program to print the result in reverse order.,"numbers = [1, 2, 3, 4, 5, 6]","numbers = [1, 2, 3, 4, 5, 6]

for x in reversed(numbers):
    print(x)",Introduction Python,4714,"numbers = [1, 2, 3, 4, 5, 6]

for x in reversed(numbers):
    print(x)","numbers = [1, 2, 3, 4, 5, 6]

    ___
    ___"
Generate Python code to print the sum of two user-defined variables.,"var1 = 3 
var2 = 7","var1 = 3
var2 = 7

sum = var1 + var2
print('The sum of var1 and var2 is ' + str(sum)) # prints 'The sum of var1 and var2 is 10'",Introduction Python,4746,"var1 = 3
var2 = 7

sum = var1 + var2
print('The sum of var1 and var2 is ' + str(sum)) # prints 'The sum of var1 and var2 is 10'","var1 = 3
var2 = 7

sum = var1 + var2
    ___"
Develop a Python script to print all possible words with a given set of letters.,"letters = ('a', 'c', 'd', 'e', 'm')","import itertools 

letters = ('a', 'c', 'd', 'e', 'm') 

for words in itertools.permutations(letters): 
    print(''.join(words))",Introduction Python,4750,"import itertools 

letters = ('a', 'c', 'd', 'e', 'm') 

for words in itertools.permutations(letters): 
    print(''.join(words))","import itertools 

letters = ('a', 'c', 'd', 'e', 'm') 

    ___
    ___"
Write a Python program to parse the following JSON and print out the values of the type and message keys.,"{
  ""type"": ""error"",
  ""message"": ""An error occurred""
}","import json

data = '{""type"": ""error"", ""message"": ""An error occurred""}'

json_data = json.loads(data)
print(json_data[""type""]) # prints ""error""
print(json_data[""message""]) # prints ""An error occurred""",Introduction Python,4760,"import json

data = '{""type"": ""error"", ""message"": ""An error occurred""}'

json_data = json.loads(data)
print(json_data[""type""]) # prints ""error""
print(json_data[""message""]) # prints ""An error occurred""","import json

data = '{""type"": ""error"", ""message"": ""An error occurred""}'

json_data = json.loads(data)
    ___
    ___"
Examine a given Python program and modify it to only print out characters which are palindromes.,"my_string = ""I like mangoes""","my_string = ""I like mangoes""

for char in my_string:
	if char == char[::-1]:
		print(char)",Introduction Python,4767,"my_string = ""I like mangoes""

for char in my_string:
	if char == char[::-1]:
		print(char)","my_string = ""I like mangoes""

    ___
	if char == char[::-1]:
    ___"
Create a loop in Python to print every permutation of a list of strings.,"[""Hello"", ""World"", ""Foo"", ""Bar""]","import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
for i in list(permutations): 
    print(i)",Introduction Python,4775,"import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
for i in list(permutations): 
    print(i)","import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
    ___
    ___"
Create a Python program for simulating a bouncing ball with a bouncing height of 10 meters. The program should print out the time at which the ball reaches the ground.,The initial velocity of the ball is 20 m/s.,"import math

# initial velocity
v0 = 20
# height
h = 10
# time to reach ground
t = (v0 * 2) / 9.81

print(""The ball will reach the ground in {:.2f} seconds"".format(t))",Introduction Python,4779,"import math

# initial velocity
v0 = 20
# height
h = 10
# time to reach ground
t = (v0 * 2) / 9.81

print(""The ball will reach the ground in {:.2f} seconds"".format(t))","import math

# initial velocity
v0 = 20
# height
h = 10
# time to reach ground
t = (v0 * 2) / 9.81

    ___"
Create a python for loop to print the elements of a given list l.,"l = [1, 2, 3, 4, 5, 6]","for element in l:
    print(element)",Introduction Python,4800,"for element in l:
    print(element)","    ___
    ___"
Write a Python program to print all unique values in a dictionary.,"sample_dict = {'key1': 1, 'key2': 2, 'key3': 3, 'key4': 1}","def printUniqueValues(dictionary):
    unique_values = set()

    for key in dictionary:
        if dictionary[key] not in unique_values:
            unique_values.add(dictionary[key])

    print(unique_values)

printUniqueValues(sample_dict)",Introduction Python,4815,"def printUniqueValues(dictionary):
    unique_values = set()

    for key in dictionary:
        if dictionary[key] not in unique_values:
            unique_values.add(dictionary[key])

    print(unique_values)

printUniqueValues(sample_dict)","    ___
    unique_values = set()

    ___
        if dictionary[key] not in unique_values:
            unique_values.add(dictionary[key])

    ___

    ___"
Generate a Python program to print all odd numbers from an array of integers.,"[3, 5, 7, 10, 15]","def printOddNumbers(array):
  for number in array:
    if number % 2 != 0:
      print(number)

array = [3, 5, 7, 10, 15]
printOddNumbers(array)",Introduction Python,4818,"def printOddNumbers(array):
  for number in array:
    if number % 2 != 0:
      print(number)

array = [3, 5, 7, 10, 15]
printOddNumbers(array)","    ___
    ___
    if number % 2 != 0:
    ___

array = [3, 5, 7, 10, 15]
    ___"
Write a Python script to print the Fibonacci series from 0 to n.,10,"def Fibonacci(n): 
   a = 0
   b = 1
   if n < 0: 
      print(""Incorrect input"") 
   elif n == 0: 
      return a 
   elif n == 1: 
      return b 
   else: 
      for i in range(2,n+1): 
          c = a + b 
          a = b 
          b = c 
      return b 
  
print(Fibonacci(10))",Introduction Python,4821,"def Fibonacci(n): 
   a = 0
   b = 1
   if n < 0: 
      print(""Incorrect input"") 
   elif n == 0: 
      return a 
   elif n == 1: 
      return b 
   else: 
      for i in range(2,n+1): 
          c = a + b 
          a = b 
          b = c 
      return b 
  
print(Fibonacci(10))","def Fibonacci(n): 
   a = 0
   b = 1
   if n < 0: 
    ___
   elif n == 0: 
      return a 
   elif n == 1: 
      return b 
   else: 
    ___
          c = a + b 
          a = b 
          b = c 
      return b 
  
    ___"
Create a Python function to print the Fibonacci series up to a given range.,range: 10,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
for i in range(1,10): 
    result.append(Fibonacci(i))
    
print(result)",Introduction Python,4858,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
for i in range(1,10): 
    result.append(Fibonacci(i))
    
print(result)","def Fibonacci(n): 
    if n<0: 
    ___
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
    ___
    result.append(Fibonacci(i))
    
    ___"
